MP044,Vidisha,MP
MH001,Ahmednagar,MH
MH002,Akola,MH
MH003,Amravati,MH
MH004,Aurangabad,MH
MH006,Beed,MH
MH005,Bhandara,MH
MH007,Buldhana,MH
MH008,Chandrapur,MH
MH009,Dhule,MH
MH010,Gadchiroli,MH
MH011,Gondia,MH
MH012,Hingoli,MH
MH013,Jalgaon,MH
MH014,Jalna,MH
MH015,Kolhapur,MH
MH016,Latur,MH
MH017,Mumbai City,MH
MH018,Mumbai Suburban,MH
MH019,Nagpur,MH
MH020,Nanded,MH
MH021,Nandurbar,MH
MH022,Nashik,MH
MH023,Osmanabad,MH
MH036,Palghar,MH
MH024,Parbhani,MH
MH025,Pune,MH
MH026,Raigad,MH
MH027,Ratnagiri,MH
MH028,Sangli,MH
MH029,Satara,MH
MH030,Sindhudurg,MH
MH031,Solapur,MH
MH032,Thane,MH
MH033,Wardha,MH
MH034,Washim,MH
MH035,Yavatmal,MH
MN001,Bishnupur,MN
MN002,Chandel,MN
MN003,Churachandpur,MN
MN004,Imphal East,MN
MN005,Imphal West,MN
MN015,Jiribam,MN
MN016,Kakching,MN
MN014,Kamjong,MN
MN010,Kangpokpi,MN
MN013,Noney,MN
MN012,Pherzawl,MN
MN006,Senapati,MN
MN007,Tamenglong,MN
MN011,Tengnoupal,MN
MN008,Thoubal,MN
MN009,Ukhrul,MN
ML001,East Garo Hills,ML
ML008,East Jaintia Hills,ML
ML002,East Khasi Hills,ML
ML010,North Garo Hills,ML
ML004,Ri Bhoi,ML
ML005,South Garo Hills,ML
ML011,South West Garo Hills ,ML
ML009,South West Khasi Hills,ML
ML006,West Garo Hills,ML
ML003,West Jaintia Hills,ML
ML007,West Khasi Hills,ML
MZ001,Aizawl,MZ
MZ002,Champhai,MZ
MZ003,Kolasib,MZ
MZ004,Lawngtlai,MZ
MZ005,Lunglei,MZ
MZ006,Mamit,MZ
MZ007,Saiha,MZ
MZ008,Serchhip,MZ
NL001,Dimapur,NL
NL010,Kiphire,NL
NL002,Kohima,NL
NL011,Longleng,NL
NL003,Mokokchung,NL
NL004,Mon,NL
NL009,Peren,NL
NL005,Phek,NL
NL006,Tuensang,NL
NL007,Wokha,NL
NL008,Zunheboto,NL
OR001,Angul,OR
OR002,Balangir,OR
OR003,Balasore,OR
OR004,Bargarh,OR
OR006,Bhadrak,OR
OR005,Boudh,OR
OR007,Cuttack,OR
OR008,Deogarh,OR
OR009,Dhenkanal,OR
OR010,Gajapati,OR
OR011,Ganjam,OR
OR012,Jagatsinghapur,OR
OR013,Jajpur,OR
OR014,Jharsuguda,OR
OR015,Kalahandi,OR
OR016,Kandhamal,OR
OR017,Kendrapara,OR
OR018,Kendujhar (Keonjhar),OR
OR019,Khordha,OR
OR020,Koraput,OR
OR021,Malkangiri,OR
OR022,Mayurbhanj,OR
OR023,Nabarangpur,OR
OR024,Nayagarh,OR
OR025,Nuapada,OR
OR026,Puri,OR
OR027,Rayagada,OR
OR028,Sambalpur,OR
OR029,Sonepur,OR
OR030,Sundargarh,OR
PY001,Karaikal,PY
PY002,Mahe,PY
PY003,Pondicherry,PY
